大类,序号,施工细项,单位,警示,避坑
二、隐蔽工程,7,同轴电视线,m,现在谁还看有线电视？能省则省！,现代年轻人多用网络机顶盒，电视线排了也吃灰，建议取消抵扣费用。
二、隐蔽工程,8,HDMI/光纤预埋,m/根,转弯必须用大弯管，否则线抽不出！,高清线接头大，预埋必须用50管或大弯管，且施工中必须做通断测试。
二、隐蔽工程,9,混凝土/剪力墙开槽,m,开槽区分“红砖”和“混凝土”了吗？,混凝土极难开，现场必要求加价至40元/米。要求两类墙体分开标价。
二、隐蔽工程,10,砖墙/抹灰层开槽,m,单价应远低于混凝土开槽！,普通砖墙开槽容易，需与混凝土墙形成明显差价。
二、隐蔽工程,11,地面开槽,m,地面能不开槽就不开槽，费钱又破坏！,若后续铺地暖或厚地砖能盖住管线，地面直接布管无需开槽省大笔钱。
二、隐蔽工程,12,86型强弱电暗盒,个,必须用“杯梳（锁扣）”连接线管！,管与盒不加锁扣，拉线时管子脱落，水泥会堵死线管。不含锁扣高亮警告。
二、隐蔽工程,13,暗盒连体/并排处理,个,并排暗盒必须用连体扣件！,师傅徒手排底盒后期面板必高低不平。必须使用连体暗盒保证绝对水平。
二、隐蔽工程,14,强弱电交叉包箔,处,交叉不包锡箔纸，网速卡成狗！,强电弱电管交叉处必须包锡纸 15-30cm 防干扰，漏报此项要求立刻加。
二、隐蔽工程,15,万可(WAGO)端子,个,别用黑胶布缠了，接线端子更安全！,传统手工缠绝缘胶布易老化起火，系统推荐升级阻燃接线端子。
二、隐蔽工程,16,强电箱总成更换,套,包不包汇流排和安装人工？,需明确是否含箱体、汇流排及人工，空开通常建议业主自购大牌防假货。
二、隐蔽工程,17,漏电保护/空气开关,个,水极深！建议网购官方正品！,施工队买的施耐德/正泰假货极多。建议业主自行按设计单网购旗舰店。
二、隐蔽工程,18,弱电箱总成更换,套,光猫路由器塞不下？换大号弱电箱！,开发商原配极小，必须更换带散热孔和内置电源插座的大尺寸弱电箱。
二、隐蔽工程,19,穿墙打孔(50mm内),个,全屋几十个打孔费算进去了吗？,水管、弱电穿墙约需20-30个孔，50元/个。前期不报后期上门打孔大几千。
二、隐蔽工程,20,穿梁/承重墙打孔,个,严禁打断主钢筋！承重梁打孔需谨慎！,水钻打孔单价高，且必须避开梁底主筋，打断影响整栋楼结构安全。
二、隐蔽工程,21,PPR冷热水管(6分),m,单价是否包含接头、弯头等管件？,管子便宜管件贵！必须要求单价内包含所有弯头、三通配件及安装。
二、隐蔽工程,22,热水管包保温棉,m,热水管不穿棉衣，冬天外壁滴水！,防热量散失和冷凝水滴落泡坏吊顶，左热右冷，热水管必须全包保温棉。
二、隐蔽工程,23,顶面水管吊卡固件,个/m,固定不牢，水管共振异响极大！,走顶水管必须每 60cm 用金属吊卡固定死，防止水流冲击产生噪音。
二、隐蔽工程,24,下水管改造/移位,m,移位必须预留大于 1% 的坡度！,坡度不够必定反水堵塞。PVC管接头需打专用胶封死防漏。
二、隐蔽工程,25,马桶移位器安装,项,移位超 50cm 极易堵，请用壁挂马桶！,常规扁管移位器易堵塞，长距离移位强烈建议垫高地面或改用壁挂式。
二、隐蔽工程,26,下水管隔音包扎,根/m,不包隔音棉，半夜听楼上冲马桶！,主下水管必须先贴阻尼片，再包厚隔音棉，漏报此项要求立刻加上。
二、隐蔽工程,27,存水弯(防臭)安装,个,地漏面盆不装存水弯，家里终身返臭！,除马桶自带防臭外，洗手盆、淋浴地漏下方下水管必须做 S/U 型存水弯。
二、隐蔽工程,28,沉箱二次排水,套,隐蔽工程良心指标：沉箱二次排水！,洗澡水会渗入回填层，不做二次漏水点引走暗水，卫生间必发臭漏水。
二、隐蔽工程,29,水管打压测试,项,厂家免费打压，装修公司别重复收钱！,大牌水管厂家包免费上门打压（保压0.8MPa），装修公司不应再收大额打压费。
二、隐蔽工程,30,水电竣工图纸/视频,项,没图纸，后期墙上钉钉子打爆水管！,必须要求完工后提供真实的管线走向视频/AR全景图，封槽前必须录像留存。
二、隐蔽工程,31,全屋大循环预埋,项,需要多排一根回水管，费用增加！,真正零冷水需布管时就加一根回水管，利用冷水管做单向阀效果差费气。
三、泥瓦工程,1,卫生间墙面防水,㎡,墙面必须用“刚性”防水，且刷至1.8米！,墙面用柔性防水后期贴砖必掉！淋浴区必须刷到1.8米防墙背衣柜发霉。
三、泥瓦工程,2,卫生间地面防水,㎡,地面必须用“柔性”防水，翻边30cm！,地面会有微小沉降，刚性易裂，柔性抗拉伸防漏。墙地材质必须分开写。
三、泥瓦工程,3,门槛石防水附加层,处,门槛石下不做挡水坝，门套全发霉烂掉！,卫生间过门石下方必须用防水涂料做成U型槽或筑挡水坝，阻断水汽外渗。
三、泥瓦工程,4,阳台/厨房防水,㎡,厨房不留地漏就不需要做大面积防水！,现代厨房极少明水冲地，若无地漏仅做水槽周围防水即可，别被忽悠全做。
三、泥瓦工程,5,闭水试验(48小时),项,不验防水就贴砖？坚决停工！,必须放水48小时，且与楼下邻居当面确认天花板无水渍并签字确认。
三、泥瓦工程,6,水泥砂浆地面找平,㎡,找平超厚要加巨款！明确标准厚度！,标配厚度通常为3cm。若地面落差大超厚，需加注超厚部分按何单价收费。
三、泥瓦工程,7,地面自流平,㎡,自流平造价极高，普通地板无需做！,除非铺极薄的材料或全屋通铺要求极高，常规木地板普通水泥找平即可。
三、泥瓦工程,8,墙面水泥砂浆打底,㎡,老墙不重新打底抹灰，新砖贴不住！,剔除老瓷砖后墙面坑洼，必须先抹灰找平才能贴新砖，漏报后期必加钱。
三、泥瓦工程,9,墙面冲筋找平,㎡,贴岩板或极简踢脚线，墙面必须绝对直！,普通的顺平不够，必须做高成本的“冲筋垂直找平”，否则接缝极大。
三、泥瓦工程,10,沉箱陶粒回填,m³,回填重量影响楼板，陶粒是最优选之一。,质轻吸水，明确写出“陶粒”，防偷换材料。
三、泥瓦工程,11,发泡陶瓷模块回填,项,严禁用“建筑垃圾”回填卫生间！,建渣极重且带棱角，极易压破下水管和防水。要求明确材料，推荐发泡陶瓷。
三、泥瓦工程,12,沉箱现浇预制板,㎡,回填完直接贴砖？地面必塌陷空鼓！,回填后必须扎钢筋网，现浇一层水泥砂浆找平层（二次防水找平）再贴砖。
三、泥瓦工程,13,常规地砖铺贴,㎡,十字架找平器是含在人工里还是单买？,普通干铺法。需明确辅料（十字架、找平卡子）是否需业主另购。
三、泥瓦工程,14,大板瓷砖铺贴,㎡,尺寸变大人工费翻倍！切勿按常规估算！,大板难挪动需吸盘，铺贴人工远超小砖。提前要求单列大砖铺贴单价。
三、泥瓦工程,15,木纹砖/人字拼贴,㎡,异形拼贴极耗时，单价是普通贴法的2倍！,交错铺贴废砖且费时，如果想做全屋人字拼，人工费预算必须翻倍。
三、泥瓦工程,16,常规墙砖湿铺,㎡,如果是全瓷地砖上墙，绝不能用湿铺法！,高吸水率小砖用水泥湿铺；若选大地砖上墙，按此法贴两年内必脱落。
三、泥瓦工程,17,马赛克/六角砖贴,㎡,这种砖铺贴费可能比砖本身还贵！,极其考验平整度和留缝，人工费极高，部分包工头甚至拒接，需提前谈好。
三、泥瓦工程,18,瓷砖薄贴工艺,㎡,省空间但费钱，必须墙面极致平整。,全用瓷砖胶薄刮，不占厚度，但前提是前期墙面找平极其完美，造价高。
三、泥瓦工程,19,瓷砖背胶涂刷,㎡,不刷背胶贴墙砖，等于头顶悬着炸弹！,现代砖不吸水，只用水泥必掉。必须在砖背刷“背胶”或用纯瓷砖胶贴。
三、泥瓦工程,20,墙地对缝排版,项,没排版图工人就瞎贴，满屋都是碎砖头！,高级要求：墙砖地砖缝隙对齐，角落碎砖大于半砖。没排版图不要开工。
三、泥瓦工程,21,阳角倒角(海棠角),m,机器碰角按米收费！总价不容忽视！,墙角瓷砖切45度拼（海棠角）最美观，但加工费很高，需预估全屋延米数。
三、泥瓦工程,22,瓷砖机械开孔,个,开孔费提前包干，防师傅现场按个收红包！,有些不良施工队会以此索要“开孔费”，应在报价单声明“含所有常规开孔”。
三、泥瓦工程,23,红砖包立管,根,严禁用木工板包管！后期贴砖必炸裂！,冷凝水会让木板受潮膨胀撑裂瓷砖。必须明确：用红砖或轻质砌块包立管。
三、泥瓦工程,24,门槛石/过门石铺贴,块/m,大理石铺贴不在常规平米内，往往后期单算！,石材通常按块或延米单独计价人工费，漏报此项进场后要额外加钱。
三、泥瓦工程,25,窗台石带挂边铺贴,块/m,耳朵挂边需现场切割打磨，人工费更高。,石材两边伸出做“小耳朵”，需提前沟通好加工样式。
三、泥瓦工程,26,淋浴房挡水条预埋,根,挡水条必须跟地砖“一起嵌进去”，不能后打胶！,贴砖完再打硅胶粘在表面必漏水发霉。必须要求在铺地砖时同步预埋嵌缝。
三、泥瓦工程,27,墙面壁龛砌筑,个,壁龛泥工造价极高，隔板切海棠角费工！,利用墙厚做壁龛极美观，但铺贴费时费力，通常几百元一个，需提前议价。
三、泥瓦工程,28,拖把池/地台砌筑,个,地台要铺砖包边，是一笔小额增项。,为防积水垫高洗衣机区域，需单独砌筑和贴小砖。
三、泥瓦工程,29,地漏回字形铺贴,个,地漏不用回字形切砖，下水奇慢无比！,必须要求将地漏周围的砖切成对角线倾斜找坡（回字形），包含在贴砖费内。
三、泥瓦工程,30,瓷砖清缝清理,㎡,谁来清理砖缝里的水泥？留给美缝师会加钱！,贴完砖需工人趁水泥未干用小铲子清缝深2mm，否则后期美缝极其困难。
三、泥瓦工程,31,隐藏式踢脚线开槽,m,开槽费+嵌砖费，造价极高慎重选择！,需泥瓦工在墙角底开深槽，再把踢脚线瓷砖嵌平，人工费远超明装。
四、木工工程,1,石膏板平顶,㎡,坚决抵制大面积木龙骨！全用轻钢龙骨！,木龙骨易受潮变形导致吊顶开裂且易燃。明确：国标轻钢龙骨+大牌石膏板。
四、木工工程,2,双眼皮跌级吊顶,m,按延米算，每多一层造型单价递增！,错层造型省空间，但计价方式从平米变延米，需核对测量长度有无虚报。
四、木工工程,3,弧形/异形吊顶,m/㎡,弯曲造型极耗木工板人工，造价最贵！,需用木板切割打底再封板，极其费工，需明确复杂造型的溢价标准。
四、木工工程,4,厨卫防水石膏板顶,㎡,不用铝扣板，就必须强制用“防水石膏板”！,水汽大会让普通石膏板半年就发霉烂掉。材料明细必须带“耐水/防水”字样。
四、木工工程,5,木龙骨防腐防火涂料,㎡,木头不刷防火防腐涂料，过不了消防验收！,窗帘盒等使用木条的地方，必须刷红色防火涂料，漏报项要求补齐。
四、木工工程,6,吊顶L型整板转角,处,拐角不裁成“7字/L型”，后期100%开裂！,吊顶四角受力最大，用两块板拼接必裂。必须用一整块板裁割套在拐角处。
四、木工工程,7,石膏板V型槽嵌缝,m,板和板之间必须留缝并切成V型，否则裂！,不能紧贴，留3-5mm V型槽，方便油漆工填补嵌缝石膏和贴防裂网。
四、木工工程,8,自攻螺丝防锈处理,项,黑螺丝不点防锈漆，天花板全冒黄点！,受潮生锈会透过乳胶漆。要求备注：“所有钉眼点涂防锈漆并嵌缝”。
四、木工工程,9,窗帘盒大芯板打底,m,窗帘盒单用石膏板，挂上重窗帘连轨一起掉！,顶部和受力侧面必须用高强度欧松板/大芯板打底，外面再包石膏板。
四、木工工程,10,投影幕布盒预留,m,槽要留够宽，且顶部必须加固承重！,确认购买幕布的机器尺寸，留槽通常要15cm宽，周边龙骨需加强。
四、木工工程,11,洗墙灯带暗槽,m,灯槽做不直，开灯后像狗啃的一样难看！,极考验木工平整度，需预留变压器隐藏检修位。
四、木工工程,12,空调风口加固,个,风机一开顶就裂？风口没做边框加固！,木工必须在出回风口周边用木工板做一圈硬边框加固，防震动撕裂石膏板。
四、木工工程,13,隐藏式检修口,个,检修口必须留，最好用无边框隐形盖板！,阀门、空调主板处必须留口，不用丑陋铝合金框，改用石膏板隐形盖板嵌平。
四、木工工程,14,无主灯磁吸轨道槽,m,木工不提前留好精确槽，买灯塞不进去！,灯具需提前进场把轨道给木工，嵌入木工板打底锁死，再批腻子盖住边缘。
四、木工工程,15,墙面轻钢龙骨找平,㎡,墙太歪用水泥找平会空鼓，需打轻钢打底。,通过龙骨搭骨架将墙面拉直平，通常用于后续铺贴大块木饰面或硬包。
四、木工工程,16,电视墙欧松板打底,㎡,重物上墙，没有欧松板打底绝对吃不住力！,普通红砖吃不住岩板干挂，必须满铺18mm欧松板增加极致握钉力。
四、木工工程,17,隐形门门洞基层,樘,门框基层不牢，半年后隐形门变“凸出缝隙门”！,极其容易变形！需用多层实木板/方管打造高强度基层门框。
四、木工工程,18,圆弧垭口/拱门打底,个,弧度不顺滑全毁！要求看木工切板工艺。,用多层板抽槽弯曲定型，造价单列，极考验师傅手艺。
四、木工工程,19,现场打柜子(柜体),㎡(展开),板材猫腻多，死磕“品牌+ENF级环保”！,认准兔宝宝/莫干山等大牌的大芯板/生态板，且必须明文写明ENF级。
四、木工工程,20,现场打柜子(柜门),㎡,柜体现场打，柜门必须去工厂定制！,手工封边差且木板易变形，超过1.5米的手工柜门极易翘曲关不上。
四、木工工程,21,榻榻米地台制作,㎡,盖板怎么翻？内部不要有太多死角分隔！,透气性极差，靠墙必须留防潮缝。建议上掀盖板配气压杆，减少抽屉防挡。
四、木工工程,22,木作背景墙基层,㎡,确认底板材质防潮防火处理。,作为面层装饰的骨架，平整度要求高。
四、木工工程,23,顶面/墙面隔音处理,㎡,单纯塞海绵没用！需“阻尼+隔音毡+棉”！,龙骨内填高密度环保隔音棉，外封阻尼隔音板，全套做下来造价不菲。
四、木工工程,24,石膏顶角线/阴角线,m,按米收费，注意石膏线转角对花拼缝处理。,常用于省钱不吊顶的遮丑（掩盖墙顶不平），选宽边更显高。
四、木工工程,25,PU线条墙面造型,m,用PU材质取代传统石膏，防磕碰开裂！,石膏线条碰一下就缺一块。PU线条韧性好，材料贵但出效果。
四、木工工程,26,木工抽屉单独制作,个,抽屉绝不是白送的！通常几百块一个！,平米报价一般指层板，每加一个抽屉由于滑轨和费工，师傅会要求另加钱。
四、木工工程,27,柜体五金安装费,项,五金你买，安装费算谁的？提前说清！,名牌铰链调平费时，师傅可能索要安装红包，需在此项中包干说明。
四、木工工程,28,柜内层板灯槽开槽,m,必须在组装板材前用雕刻机开好铝槽位！,装好柜子再切槽就晚了。需木工阶段与灯光设计交底开槽尺寸。
四、木工工程,29,门套木工板打底,m,洞太大门装不上，木工打底缩门洞要加钱！,为匹配标准定制木门，木工需将不方正的门洞用木板修正找平。
四、木工工程,30,复杂吊顶排版交底,项,没图纸瞎做，开孔刚好打在龙骨上！,开工前木工必须在天花板画线排版，避开筒灯孔位再去固定龙骨。
四、木工工程,31,包水管塞隔音棉,根,封上石膏板前，头顶的横向水管包了吗？,泥瓦工只包立管，天花板上的横管若不包隔音棉，冲水异响依然在。
五、油漆工程,1,墙面界面剂(墙固),㎡,开工第一天全屋刷？纯忽悠业主的表面功夫！,刷太早落满灰就废了。墙固应在批腻子前1天刷，地固在铺地砖前刷。
五、油漆工程,2,阴阳角PVC找直条,m,不埋找直条，家里的墙角永远是歪歪扭扭的！,凸阳角和凹阴角在批腻子前必须埋入PVC直条，不仅笔直还能防磕碰。
五、油漆工程,3,石膏板接缝处嵌缝,m,V型槽不填实贴网，天花板接缝全裂开！,必须用专用高强度嵌缝石膏填平缝隙，干透后贴防裂纸带或牛皮纸。
五、油漆工程,4,全屋挂玻璃纤维网,㎡,腻子层内必须满铺网格布拉扯，防大面龟裂。,针对底子极差的老墙保命项，造价按平米算，需核实是否必须。
五、油漆工程,5,墙面嵌缝石膏找平,㎡,腻子不能批太厚，大坑必须先用石膏填补！,腻子过厚会自身开裂卷边脱落。落差大于5mm必须先用底层找平石膏处理。
五、油漆工程,6,冲筋找平(油漆阶段),㎡,衣柜靠墙缝隙极大？因为没做冲筋找直！,普通“顺平”肉眼看不出，但装定制柜时缝隙极其明显。衣柜背后必须做垂直冲筋找平（误差<2mm），收费高。
五、油漆工程,7,顶面石膏找直平,㎡,开发商原顶是斜的！装好顶角线惨不忍睹！,不吊顶的区域四周墙角必须用石膏拉直线找平，否则装入户柜会发现天花板一边高一边低。
五、油漆工程,8,批刮腻子(2-3遍),㎡,面积虚报重灾区！注意公式是否扣除门窗！,合理估算：建面×2.5至3。一定要核实是否扣除了门、窗、柜背后的面积。
五、油漆工程,9,耐水腻子升级费,㎡,容易受潮的墙，强制推荐升级“耐水腻子”！,普通腻子受潮粉化如面粉。耐水腻子结实抗潮，但施工极累，需加钱升级。
五、油漆工程,10,强光侧射手工打磨,㎡,师傅不拿千瓦灯泡侧照打磨，墙绝对不平！,必须开大灯贴墙照出所有起伏，打磨平整后才能刷漆。应含在总价内。
五、油漆工程,11,机械无尘打磨,㎡,吸尘打磨机效率高，但墙角仍需手工修！,明确此项是否需额外收机器折旧费，应包含。
五、油漆工程,12,涂刷抗碱底漆(1遍),㎡,别让黑心公司把“底漆”给偷了！必须刷！,底漆能封固墙面碱性，防面漆发花发黄。极易被故意漏报，必须见文“一底两面”。
五、油漆工程,13,乳胶漆面漆(2遍),㎡,确认是喷涂还是滚涂？滚涂好修补！,喷涂废漆面平滑但后期极难修补（有色差补丁）；滚涂有肌理方便修补。推荐滚涂。
五、油漆工程,14,深色漆调色/涂刷费,项,深色漆极难刷匀！必须额外加人工费！,不能兑水需多次滚涂。提前确认色浆调色费及深色施工附加费。
五、油漆工程,15,多色分色遮蔽费,种/项,贴美纹纸做直角分界极耗时，每多一色加钱！,拼色墙造型费事，通常每多一种颜色加收200-300元，需提前明确。
五、油漆工程,16,顶面单刷白漆,㎡,墙顶分色单价可能不同，面积需拆分核算！,顶面白漆相对便宜，注意别被按彩色漆统一高价收了。
五、油漆工程,17,黑板漆/磁性漆施工,㎡,施工极其严苛，人工费远超普通漆！,需刷多遍磁力底漆和黑板面漆，打磨要求极高，不可按常规漆估价。
五、油漆工程,18,艺术漆/微水泥打底,㎡,乳胶漆工只需批完腻子打磨收尾即可！,扣除底面漆的材料和人工，交接时让艺术漆师傅验收腻子基层。
五、油漆工程,19,贴壁布基膜涂刷,㎡,不能直接在腻子上贴布，必须刷封闭基膜！,基膜硬化腻子层防发霉。买墙布通常包基膜，别让装修公司重收。
五、油漆工程,20,壁纸/壁布铺贴人工,㎡,无缝壁布人工费远高于拼接壁纸！,建议买布时带包安装服务，装修公司贴极易扯皮气泡谁担责。
五、油漆工程,21,石膏线涂刷乳胶漆,m,石膏线刷漆极费工，确认含在总价内。,需用小刷子细心处理纹理，易漏刷。
五、油漆工程,22,木作打磨封闭底漆,㎡,封死木材毛孔防开裂变色。,水性漆环保，但耐磨度不如聚氨酯。
五、油漆工程,23,木作清水/混水漆,㎡,必须明确喷涂遍数！起码底面共5遍！,现在已极少在现场做木器漆（不环保），建议能定制就去工厂做。
五、油漆工程,24,木踢脚线油漆修补,m,钉眼全裸露极丑，油漆工必须留下补钉眼！,安装完后，油漆工必须用同色腻子或漆点补所有枪钉眼。
五、油漆工程,25,安装期二次修补漆,项/次,柜子进场装完，墙面被磕得坑坑洼洼谁修？,必须明文规定：硬装主材（门、柜子、开关）全装完后，油漆工必须二次上门做无痕修补！
五、油漆工程,26,遮蔽保护(美纹纸),卷/项,不包好窗框门框，漆滴上去一辈子擦不掉！,必须用带膜美纹纸将所有的门窗套、插座底盒全方位包裹。
五、油漆工程,27,暖气片后方防尘漆,处,背后空隙容易积灰落黑，需重点涂刷抗污漆。,交底时提醒师傅特殊照顾卫生死角。
五、油漆工程,28,墙角金属条预埋,m,底部不留槽嵌金属条，拖地脏水全蹭墙上！,离地1-2cm预埋U型铝合金条收口，油漆工顺着批腻子，造价极高。
五、油漆工程,29,门窗套交接处打胶,m,墙面和木门框交界处必裂，必须打美容胶！,不能用腻子硬填。油漆工或美缝工需沿接缝打一圈可涂装的弹性亚克力胶防裂。
五、油漆工程,30,余漆留存与密封,项,漆千万别丢！必须留半桶原色面漆存床底！,入住搬家具100%会磕碰墙壁，没有原批次留存漆，后调的漆打补丁色差极大！
五、油漆工程,31,高空脚手架搭设费,项,超高层高施工，需加收危险高空作业费。,层高超3.5米普通马扎够不到，需租赁脚手架并加收高空人工。
六、安装配套,1,基础白水泥勾缝,㎡,不打算做美缝？基础填缝必须免费给做！,贴砖防脏物掉入砖缝。若业主决定后期做美缝，则要求暂不勾缝。
六、安装配套,2,全屋美缝(真瓷胶),m/㎡,马赛克/小白砖千万别按平米算！比买砖贵！,常规砖按平米，小碎砖缝隙极多必须按延米算。防被按平米坑天价。
六、安装配套,3,环氧彩砂美缝,m/㎡,明确是否含极费时的“清缝、吸尘费”！,材料贵，施工需水洗。要求做出“平槽无凹陷”效果，否则和普通无异。
六、安装配套,4,开关插座面板安装,个,按个算还是平米包干？几百块总价为宜。,标准86型面板接线安装。若有极其复杂的智能中控屏，可能需另加费。
六、安装配套,5,主灯/吊灯常规安装,个,普通灯能装，超大超重花灯师傅绝对拒装！,几十斤的水晶灯需打长膨胀螺丝穿透石膏板锁在楼板上，属于非标高危，需单列安装费。
六、安装配套,6,筒灯/射灯/轨道灯,个/m,“无边框”筒灯安装极其麻烦，费用大增！,普通筒灯卡进去就行；无边框需预埋底座批腻子，木工油漆电工需配合，单价极高。
六、安装配套,7,灯带与变压器隐藏,m/个,变压器像块大板砖，不留检修口藏哪？,必须藏在空调检修口或柜顶，严禁封死在吊顶内（坏了要砸天花板换）。
六、安装配套,8,集成吊顶电器安装,套,别重复交钱！买浴霸通常都包免费安装。,划清界限：铝扣板师傅留孔，浴霸厂家装机，电工只负责留电接线。
六、安装配套,9,净水器/小厨宝安装,台,下水管太细全堵死？插座不够用接插线板？,水电阶段必须在水槽底留够至少3个防溅插座，并预留直饮水/废水分流管道。
六、安装配套,10,垃圾处理器安装,台,买单槽大口径下水！台下盆可能被震掉！,震动大，若是台下盆必须加装承重支架。确认购买商家是否包安装调试。
